month,material_no,area,target_value
2026-05,CK-002,Lucknow,9750.46
2026-06,CK-002,Lucknow,12277.41
2025-07,CK-002,Mumbai,22164.46
2025-08,CK-002,Mumbai,18077.78
2025-09,CK-002,Mumbai,21600.39
2025-10,CK-002,Mumbai,20658.22
2025-11,CK-002,Mumbai,16147.29
2025-12,CK-002,Mumbai,22890.86
2026-01,CK-002,Mumbai,15758.43
2026-02,CK-002,Mumbai,17696.37
2026-03,CK-002,Mumbai,22183.47
2026-04,CK-002,Mumbai,19028.55
2026-05,CK-002,Mumbai,16951.59
2026-06,CK-002,Mumbai,17231.58
2025-07,CK-002,Patna,14917.26
2025-08,CK-002,Patna,11695.85
2025-09,CK-002,Patna,14259.75
2025-10,CK-002,Patna,14818.95
2025-11,CK-002,Patna,13298.94
2025-12,CK-002,Patna,14689.67
2026-01,CK-002,Patna,12120.37
2026-02,CK-002,Patna,11960.24
2026-03,CK-002,Patna,15247.06
2026-04,CK-002,Patna,11354.51
2026-05,CK-002,Patna,11119.6
2026-06,CK-002,Patna,11399.73
2025-07,CK-002,Pune,25056.44
2025-08,CK-002,Pune,19984.8
2025-09,CK-002,Pune,21286.85
2025-10,CK-002,Pune,23240.95
2025-11,CK-002,Pune,18135.3
2025-12,CK-002,Pune,23235.5
2026-01,CK-002,Pune,19397.58
2026-02,CK-002,Pune,19009.14
2026-03,CK-002,Pune,21628.16
2026-04,CK-002,Pune,18112.91
2026-05,CK-002,Pune,18734.63
2026-06,CK-002,Pune,18016.91
2025-07,CK-003,Ahmedabad,21017.38
2025-08,CK-003,Ahmedabad,16752.91
2025-09,CK-003,Ahmedabad,24256.32
2025-10,CK-003,Ahmedabad,23891.43
2025-11,CK-003,Ahmedabad,17631.94
2025-12,CK-003,Ahmedabad,20519.52
2026-01,CK-003,Ahmedabad,19761.31
2026-02,CK-003,Ahmedabad,18631.25
2026-03,CK-003,Ahmedabad,20080.1
2026-04,CK-003,Ahmedabad,17190.61
2026-05,CK-003,Ahmedabad,18919.81
2026-06,CK-003,Ahmedabad,18722.67
2025-07,CK-003,Delhi,20239.21
2025-08,CK-003,Delhi,16560.67
2025-09,CK-003,Delhi,21933.78
2025-10,CK-003,Delhi,22344.83
2025-11,CK-003,Delhi,17970.36
2025-12,CK-003,Delhi,21556.74
2026-01,CK-003,Delhi,16785.78
2026-02,CK-003,Delhi,16663.95
2026-03,CK-003,Delhi,22446.37
2026-04,CK-003,Delhi,17906.1
2026-05,CK-003,Delhi,18036.64
2026-06,CK-003,Delhi,15762.8
2025-07,CK-003,Guwahati,14290.01
2025-08,CK-003,Guwahati,11331.95
2025-09,CK-003,Guwahati,14875.42
2025-10,CK-003,Guwahati,12444.93
2025-11,CK-003,Guwahati,12641.13
2025-12,CK-003,Guwahati,15859.3
2026-01,CK-003,Guwahati,10105.32
2026-02,CK-003,Guwahati,11197.11
2026-03,CK-003,Guwahati,14948.04
2026-04,CK-003,Guwahati,11247.03
2026-05,CK-003,Guwahati,10592.1
2026-06,CK-003,Guwahati,11901.98
2025-07,CK-003,Hyderabad,23835.74
2025-08,CK-003,Hyderabad,18098.78
2025-09,CK-003,Hyderabad,20963.94
2025-10,CK-003,Hyderabad,27522.12
2025-11,CK-003,Hyderabad,22324.19
2025-12,CK-003,Hyderabad,21612.19
2026-01,CK-003,Hyderabad,17746.99
2026-02,CK-003,Hyderabad,15801.27
2026-03,CK-003,Hyderabad,21384.08
2026-04,CK-003,Hyderabad,17009.76
2026-05,CK-003,Hyderabad,19578.11
2026-06,CK-003,Hyderabad,16845.87
2025-07,CK-003,Jaipur,13866.89
2025-08,CK-003,Jaipur,11381.96
2025-09,CK-003,Jaipur,14335.72
2025-10,CK-003,Jaipur,14239.4
2025-11,CK-003,Jaipur,12414.29
2025-12,CK-003,Jaipur,15134.07
2026-01,CK-003,Jaipur,10929.12
2026-02,CK-003,Jaipur,12187.42
2026-03,CK-003,Jaipur,14627.97
2026-04,CK-003,Jaipur,10672.14
2026-05,CK-003,Jaipur,12088.7
2026-06,CK-003,Jaipur,11178.29
2025-07,CK-003,Kolkata,22538.16
2025-08,CK-003,Kolkata,16606.98
2025-09,CK-003,Kolkata,21414.18
2025-10,CK-003,Kolkata,23280.31
2025-11,CK-003,Kolkata,16891.2
2025-12,CK-003,Kolkata,21584.06
2026-01,CK-003,Kolkata,18483.05
2026-02,CK-003,Kolkata,16860.67
2026-03,CK-003,Kolkata,21527.18
2026-04,CK-003,Kolkata,15731.51
2026-05,CK-003,Kolkata,17682.65
2026-06,CK-003,Kolkata,17937.07
2025-07,CK-003,Lucknow,15042.87
2025-08,CK-003,Lucknow,11922.3
2025-09,CK-003,Lucknow,14807.19
2025-10,CK-003,Lucknow,14588.96
2025-11,CK-003,Lucknow,11362.75
2025-12,CK-003,Lucknow,13388.21
2026-01,CK-003,Lucknow,11845.31
2026-02,CK-003,Lucknow,11120.35
2026-03,CK-003,Lucknow,15055.81
2026-04,CK-003,Lucknow,12094.84
2026-05,CK-003,Lucknow,12239.17
2026-06,CK-003,Lucknow,10997.58
2025-07,CK-003,Mumbai,24277.62
2025-08,CK-003,Mumbai,17478.83
2025-09,CK-003,Mumbai,24281.34
2025-10,CK-003,Mumbai,22824.3
2025-11,CK-003,Mumbai,17510.98
2025-12,CK-003,Mumbai,24106.95
2026-01,CK-003,Mumbai,16597.08
2026-02,CK-003,Mumbai,19724.09
2026-03,CK-003,Mumbai,21461.36
2026-04,CK-003,Mumbai,19547.43
2026-05,CK-003,Mumbai,17566.25
2026-06,CK-003,Mumbai,19841.3
2025-07,CK-003,Pune,20611.42
2025-08,CK-003,Pune,15625.88
2025-09,CK-003,Pune,22264.84
2025-10,CK-003,Pune,22076.29
2025-11,CK-003,Pune,17850.44
2025-12,CK-003,Pune,21690.97
2026-01,CK-003,Pune,17545.84
2026-02,CK-003,Pune,18074.37
2026-03,CK-003,Pune,21664.68
2026-04,CK-003,Pune,18136.81
2026-05,CK-003,Pune,17321.96
2026-06,CK-003,Pune,18824.34
2025-07,CK-004,Ahmedabad,40902.19
2025-08,CK-004,Ahmedabad,33111.63
2025-09,CK-004,Ahmedabad,48512.08
2025-10,CK-004,Ahmedabad,42653.35
2025-11,CK-004,Ahmedabad,34888.12
2025-12,CK-004,Ahmedabad,48671.71
2026-01,CK-004,Ahmedabad,36490.79
2026-02,CK-004,Ahmedabad,33175.19
2026-03,CK-004,Ahmedabad,40760.91
2026-04,CK-004,Ahmedabad,34387.94
2026-05,CK-004,Ahmedabad,36571.04
2026-06,CK-004,Ahmedabad,36338.76
2025-07,CK-004,Bengaluru,46798.9
2025-08,CK-004,Bengaluru,36788.54
2025-09,CK-004,Bengaluru,44505.04
2025-10,CK-004,Bengaluru,61068.98
2025-11,CK-004,Bengaluru,43277.77
2025-12,CK-004,Bengaluru,53361.08
2026-01,CK-004,Bengaluru,35152.12
2026-02,CK-004,Bengaluru,39115.92
2026-03,CK-004,Bengaluru,42010.72
2026-04,CK-004,Bengaluru,33773.58
2026-05,CK-004,Bengaluru,29547.84
2026-06,CK-004,Bengaluru,37407.1
2025-07,CK-004,Hyderabad,41067.55
2025-08,CK-004,Hyderabad,38031.49
2025-09,CK-004,Hyderabad,39422.42
2025-10,CK-004,Hyderabad,48146.43
2025-11,CK-004,Hyderabad,41164.8
2025-12,CK-004,Hyderabad,52610.67
2026-01,CK-004,Hyderabad,37494.11
2026-02,CK-004,Hyderabad,37213.11
2026-03,CK-004,Hyderabad,43951.63
2026-04,CK-004,Hyderabad,37844.82
2026-05,CK-004,Hyderabad,33112.34
2026-06,CK-004,Hyderabad,35751.64
2025-07,CK-004,Jaipur,29850.49
2025-08,CK-004,Jaipur,24213.59
2025-09,CK-004,Jaipur,27809.93
2025-10,CK-004,Jaipur,28752.42
2025-11,CK-004,Jaipur,24164.89
2025-12,CK-004,Jaipur,28497.41
2026-01,CK-004,Jaipur,25368.15
2026-02,CK-004,Jaipur,21826.32
2026-03,CK-004,Jaipur,31243.1
2026-04,CK-004,Jaipur,23068.76
2026-05,CK-004,Jaipur,24074.27
2026-06,CK-004,Jaipur,24811.92
2025-07,CK-004,Kolkata,47629.29
2025-08,CK-004,Kolkata,35612.26
2025-09,CK-004,Kolkata,45442.11
2025-10,CK-004,Kolkata,42498.91
2025-11,CK-004,Kolkata,36441.36
2025-12,CK-004,Kolkata,44553.65
2026-01,CK-004,Kolkata,33224.19
2026-02,CK-004,Kolkata,31708.96
2026-03,CK-004,Kolkata,45055.87
2026-04,CK-004,Kolkata,35075.39
2026-05,CK-004,Kolkata,36131.48
2026-06,CK-004,Kolkata,34351.74
2025-07,CK-004,Lucknow,27801.07
2025-08,CK-004,Lucknow,25697.89
2025-09,CK-004,Lucknow,28528.95
2025-10,CK-004,Lucknow,29890.95
2025-11,CK-004,Lucknow,24328.76
2025-12,CK-004,Lucknow,30734.04
2026-01,CK-004,Lucknow,22622.57
2026-02,CK-004,Lucknow,24412.53
2026-03,CK-004,Lucknow,29254.84
2026-04,CK-004,Lucknow,20939.38
2026-05,CK-004,Lucknow,21829.73
2026-06,CK-004,Lucknow,20919.77
2025-07,CK-004,Mumbai,43727.06
2025-08,CK-004,Mumbai,38168.62
2025-09,CK-004,Mumbai,42463.92
2025-10,CK-004,Mumbai,44197.07
2025-11,CK-004,Mumbai,40282.8
2025-12,CK-004,Mumbai,43989.28
2026-01,CK-004,Mumbai,29761.96
2026-02,CK-004,Mumbai,36276.4
2026-03,CK-004,Mumbai,43860.97
2026-04,CK-004,Mumbai,34472.96
2026-05,CK-004,Mumbai,33635.61
2026-06,CK-004,Mumbai,36873.4
2025-07,CK-004,Patna,30820.12
2025-08,CK-004,Patna,24419.87
2025-09,CK-004,Patna,29689.91
2025-10,CK-004,Patna,29584.81
2025-11,CK-004,Patna,24490.39
2025-12,CK-004,Patna,26974.29
2026-01,CK-004,Patna,22170.76
2026-02,CK-004,Patna,24633.0
2026-03,CK-004,Patna,31829.81
2026-04,CK-004,Patna,22479.65
2026-05,CK-004,Patna,23565.22
2026-06,CK-004,Patna,23051.26
2025-07,CK-004,Pune,45315.66
2025-08,CK-004,Pune,34059.44
2025-09,CK-004,Pune,42753.35
2025-10,CK-004,Pune,44977.34
2025-11,CK-004,Pune,35395.42
2025-12,CK-004,Pune,42362.74
2026-01,CK-004,Pune,38204.4
2026-02,CK-004,Pune,35606.63
2026-03,CK-004,Pune,44426.87
2026-04,CK-004,Pune,33805.75
2026-05,CK-004,Pune,36138.07
2026-06,CK-004,Pune,36895.45
2025-07,CK-005,Bengaluru,47452.64
2025-08,CK-005,Bengaluru,37327.06
2025-09,CK-005,Bengaluru,41454.43
2025-10,CK-005,Bengaluru,51436.21
2025-11,CK-005,Bengaluru,41018.0
2025-12,CK-005,Bengaluru,56761.71
2026-01,CK-005,Bengaluru,34977.56
2026-02,CK-005,Bengaluru,36780.24
2026-03,CK-005,Bengaluru,41477.18
2026-04,CK-005,Bengaluru,38475.0
2026-05,CK-005,Bengaluru,31138.03
2026-06,CK-005,Bengaluru,36235.48
2025-07,CK-005,Chennai,44730.71
2025-08,CK-005,Chennai,37573.31
2025-09,CK-005,Chennai,41885.04
2025-10,CK-005,Chennai,58610.98
2025-11,CK-005,Chennai,46865.11
2025-12,CK-005,Chennai,56018.24
2026-01,CK-005,Chennai,37728.42
2026-02,CK-005,Chennai,31908.63
2026-03,CK-005,Chennai,46125.29
2026-04,CK-005,Chennai,29485.95
2026-05,CK-005,Chennai,37780.01
2026-06,CK-005,Chennai,34246.38
2025-07,CK-005,Delhi,47557.92
2025-08,CK-005,Delhi,35139.23
2025-09,CK-005,Delhi,41536.44
2025-10,CK-005,Delhi,43004.32
2025-11,CK-005,Delhi,34546.82
2025-12,CK-005,Delhi,42236.58
2026-01,CK-005,Delhi,34719.86
2026-02,CK-005,Delhi,37971.05
2026-03,CK-005,Delhi,42353.52
2026-04,CK-005,Delhi,36082.38
2026-05,CK-005,Delhi,38993.78
2026-06,CK-005,Delhi,37868.78
2025-07,CK-005,Guwahati,28525.48
2025-08,CK-005,Guwahati,23785.57
2025-09,CK-005,Guwahati,28542.04
2025-10,CK-005,Guwahati,24665.79
2025-11,CK-005,Guwahati,23858.14
2025-12,CK-005,Guwahati,31497.8
2026-01,CK-005,Guwahati,24061.05
2026-02,CK-005,Guwahati,25783.79
2026-03,CK-005,Guwahati,26914.27
2026-04,CK-005,Guwahati,22487.58
2026-05,CK-005,Guwahati,22355.82
2026-06,CK-005,Guwahati,22560.52
2025-07,CK-005,Hyderabad,44121.72
2025-08,CK-005,Hyderabad,37854.21
2025-09,CK-005,Hyderabad,40554.26
2025-10,CK-005,Hyderabad,47465.94
2025-11,CK-005,Hyderabad,43581.52
2025-12,CK-005,Hyderabad,52130.38
2026-01,CK-005,Hyderabad,36321.31
2026-02,CK-005,Hyderabad,36082.49
2026-03,CK-005,Hyderabad,43343.93
2026-04,CK-005,Hyderabad,31945.29
2026-05,CK-005,Hyderabad,34891.24
2026-06,CK-005,Hyderabad,34668.21
2025-07,CK-005,Jaipur,28957.31
2025-08,CK-005,Jaipur,22444.3
2025-09,CK-005,Jaipur,29368.72
2025-10,CK-005,Jaipur,30674.72
2025-11,CK-005,Jaipur,22612.4
2025-12,CK-005,Jaipur,32043.66
2026-01,CK-005,Jaipur,20702.66
2026-02,CK-005,Jaipur,22086.06
2026-03,CK-005,Jaipur,28158.29
2026-04,CK-005,Jaipur,24566.22
2026-05,CK-005,Jaipur,21892.25
2026-06,CK-005,Jaipur,22226.47
2025-07,CK-005,Kolkata,46006.95
2025-08,CK-005,Kolkata,29174.76
2025-09,CK-005,Kolkata,40356.77
2025-10,CK-005,Kolkata,45515.37
2025-11,CK-005,Kolkata,37976.23
2025-12,CK-005,Kolkata,46622.23
2026-01,CK-005,Kolkata,33361.69
2026-02,CK-005,Kolkata,37361.7
2026-03,CK-005,Kolkata,40899.37
2026-04,CK-005,Kolkata,31471.29
2026-05,CK-005,Kolkata,36060.14
2026-06,CK-005,Kolkata,32468.6
2025-07,CK-005,Lucknow,30553.12
2025-08,CK-005,Lucknow,24174.35
2025-09,CK-005,Lucknow,30619.26
2025-10,CK-005,Lucknow,30317.18
2025-11,CK-005,Lucknow,23702.71
2025-12,CK-005,Lucknow,32421.25
2026-01,CK-005,Lucknow,22046.01
2026-02,CK-005,Lucknow,24695.48
2026-03,CK-005,Lucknow,27707.19
2026-04,CK-005,Lucknow,23679.18
2026-05,CK-005,Lucknow,20359.07
2026-06,CK-005,Lucknow,22502.0
2025-07,CK-005,Pune,45897.05
2025-08,CK-005,Pune,31742.74
2025-09,CK-005,Pune,41709.21
2025-10,CK-005,Pune,40993.82
2025-11,CK-005,Pune,30985.42
2025-12,CK-005,Pune,45864.66
2026-01,CK-005,Pune,34564.18
2026-02,CK-005,Pune,40421.34
2026-03,CK-005,Pune,44285.89
2026-04,CK-005,Pune,33909.09
2026-05,CK-005,Pune,33002.26
2026-06,CK-005,Pune,36113.18
2025-07,CK-006,Ahmedabad,40231.19
2025-08,CK-006,Ahmedabad,41007.52
2025-09,CK-006,Ahmedabad,44853.13
2025-10,CK-006,Ahmedabad,43271.41
2025-11,CK-006,Ahmedabad,37264.22
2025-12,CK-006,Ahmedabad,44864.61
2026-01,CK-006,Ahmedabad,35426.43
2026-02,CK-006,Ahmedabad,35496.19
2026-03,CK-006,Ahmedabad,43750.22
2026-04,CK-006,Ahmedabad,34912.47
2026-05,CK-006,Ahmedabad,39595.58
2026-06,CK-006,Ahmedabad,36060.87
2025-07,CK-006,Bengaluru,42035.37
2025-08,CK-006,Bengaluru,38040.49
2025-09,CK-006,Bengaluru,41160.3
2025-10,CK-006,Bengaluru,48747.85
2025-11,CK-006,Bengaluru,45900.02
2025-12,CK-006,Bengaluru,53287.96
2026-01,CK-006,Bengaluru,34389.28
2026-02,CK-006,Bengaluru,40224.28
2026-03,CK-006,Bengaluru,40920.71
2026-04,CK-006,Bengaluru,35362.61
2026-05,CK-006,Bengaluru,31831.49
2026-06,CK-006,Bengaluru,31359.61
2025-07,CK-006,Chennai,47719.56
2025-08,CK-006,Chennai,35919.5
2025-09,CK-006,Chennai,40207.05
2025-10,CK-006,Chennai,46381.39
2025-11,CK-006,Chennai,40102.3
2025-12,CK-006,Chennai,49351.68
2026-01,CK-006,Chennai,36508.04
2026-02,CK-006,Chennai,38949.61
2026-03,CK-006,Chennai,43561.25
2026-04,CK-006,Chennai,33308.99
2026-05,CK-006,Chennai,33537.95
2026-06,CK-006,Chennai,36832.27
2025-07,CK-006,Delhi,43227.52
2025-08,CK-006,Delhi,35327.45
2025-09,CK-006,Delhi,42001.89
2025-10,CK-006,Delhi,42729.62
2025-11,CK-006,Delhi,35492.17
2025-12,CK-006,Delhi,47974.07
2026-01,CK-006,Delhi,35366.35
2026-02,CK-006,Delhi,35724.29
2026-03,CK-006,Delhi,47001.63
2026-04,CK-006,Delhi,36432.22
2026-05,CK-006,Delhi,33374.16
2026-06,CK-006,Delhi,34006.8
2025-07,CK-006,Guwahati,29153.18
2025-08,CK-006,Guwahati,23179.59
2025-09,CK-006,Guwahati,30191.07
2025-10,CK-006,Guwahati,28053.27
2025-11,CK-006,Guwahati,21368.25
2025-12,CK-006,Guwahati,31436.24
2026-01,CK-006,Guwahati,23059.71
2026-02,CK-006,Guwahati,23410.71
2026-03,CK-006,Guwahati,30391.45
2026-04,CK-006,Guwahati,22386.96
2026-05,CK-006,Guwahati,22064.23
2026-06,CK-006,Guwahati,22464.39
2025-07,CK-006,Hyderabad,40670.37
2025-08,CK-006,Hyderabad,33739.08
2025-09,CK-006,Hyderabad,41606.44
2025-10,CK-006,Hyderabad,56848.32
2025-11,CK-006,Hyderabad,39298.91
2025-12,CK-006,Hyderabad,53429.92
2026-01,CK-006,Hyderabad,31420.72
2026-02,CK-006,Hyderabad,32669.77
2026-03,CK-006,Hyderabad,41225.17
2026-04,CK-006,Hyderabad,36645.43
2026-05,CK-006,Hyderabad,33205.66
2026-06,CK-006,Hyderabad,31578.65
2025-07,CK-006,Kolkata,40814.01
2025-08,CK-006,Kolkata,33000.02
2025-09,CK-006,Kolkata,45192.35
2025-10,CK-006,Kolkata,48122.5
2025-11,CK-006,Kolkata,36945.2
2025-12,CK-006,Kolkata,46079.36
2026-01,CK-006,Kolkata,35518.86
2026-02,CK-006,Kolkata,36099.05
2026-03,CK-006,Kolkata,42356.11
2026-04,CK-006,Kolkata,37712.58
2026-05,CK-006,Kolkata,35746.26
2026-06,CK-006,Kolkata,32275.48
2025-07,CK-006,Mumbai,47358.87
2025-08,CK-006,Mumbai,39274.76
2025-09,CK-006,Mumbai,45243.75
2025-10,CK-006,Mumbai,48803.11
2025-11,CK-006,Mumbai,35503.9
2025-12,CK-006,Mumbai,43727.51
2026-01,CK-006,Mumbai,38601.5
2026-02,CK-006,Mumbai,34988.09
2026-03,CK-006,Mumbai,47333.4
2026-04,CK-006,Mumbai,31643.88
2026-05,CK-006,Mumbai,37193.03
2026-06,CK-006,Mumbai,38078.22
2025-07,CK-006,Pune,36266.27
2025-08,CK-006,Pune,35436.09
2025-09,CK-006,Pune,45224.38
2025-10,CK-006,Pune,42696.78
2025-11,CK-006,Pune,37226.96
2025-12,CK-006,Pune,43216.32
2026-01,CK-006,Pune,40286.7
2026-02,CK-006,Pune,35695.88
2026-03,CK-006,Pune,39908.42
2026-04,CK-006,Pune,35248.74
2026-05,CK-006,Pune,37269.15
2026-06,CK-006,Pune,37678.35
2025-07,CK-007,Ahmedabad,64269.18
2025-08,CK-007,Ahmedabad,42488.38
2025-09,CK-007,Ahmedabad,55731.03
2025-10,CK-007,Ahmedabad,55812.18
2025-11,CK-007,Ahmedabad,44004.44
2025-12,CK-007,Ahmedabad,56656.61
2026-01,CK-007,Ahmedabad,54549.29
2026-02,CK-007,Ahmedabad,42740.82
2026-03,CK-007,Ahmedabad,55920.9
2026-04,CK-007,Ahmedabad,49735.71
2026-05,CK-007,Ahmedabad,45811.73
2026-06,CK-007,Ahmedabad,46960.81
2025-07,CK-007,Delhi,55795.78
2025-08,CK-007,Delhi,44559.33
2025-09,CK-007,Delhi,55310.43
2025-10,CK-007,Delhi,51819.86
2025-11,CK-007,Delhi,47386.68
2025-12,CK-007,Delhi,61418.42
2026-01,CK-007,Delhi,51425.27
2026-02,CK-007,Delhi,42619.28
